	FPP	POS	Dictionary Entry
452	anhelitus	noun	anhelitus, anhelitus, m
453	anhelo	noun	anhelo, NULL, n
454	anicula	noun	anicula, aniculae, f
455	anilitas	noun	anilitas, NULL, f
456	anima	noun	anima, animae, f
457	animadversio	noun	animadversio, animadversionis, f
458	animadversor	noun	animadversor, NULL, m
459	animadverto	noun	animadverto, NULL, n
460	animal	noun	animal, animalis, n
461	animatio	noun	animatio, NULL, f
462	animo	noun	animo, NULL, n
463	animo	noun	animo, NULL, n
464	animula	noun	animula, animulae, f
465	animus	noun	animus, animi, m
466	Anio	noun	Anio, anienis, m
467	annalis	noun	annalis, annalis, f
468	annalis	noun	annalis, annalis, f
469	annecto	noun	annecto, NULL, n
470	annitor	noun	annitor, NULL, n
471	annona	noun	annona, annonae, f
472	annus	noun	annus, anni, m
473	ansa	noun	ansa, ansae, f
474	anser	noun	anser, anseris, m
475	antecedo	noun	antecedo, NULL, n
476	antecessio	noun	antecessio, NULL, f
477	antecursor	noun	antecursor, NULL, m
478	antefero	noun	antefero, NULL, n
479	antepilanus	noun	antepilanus, antepilani, m
480	antepono	noun	antepono, NULL, n
481	antes	noun	antes, NULL, m
482	antesignanus	noun	antesignanus, antesignani, m
483	anthias	noun	anthias, anthiae, m
484	anticipatio	noun	anticipatio, NULL, f
485	anticipo	noun	anticipo, NULL, n
486	antidotum	noun	antidotum, antidoti, f
487	antiquaria	noun	antiquaria, NULL, f
488	antiquarius	noun	antiquarius, antiquari, m
489	antiquitas	noun	antiquitas, antiquitatis, f
490	antiquo	noun	antiquo, NULL, n
491	antistes	noun	antistes, antistitis, m
492	Antoniaster	noun	Antoniaster, NULL, m
493	Antonius	noun	Antonius, antoni, m
494	antrum	noun	antrum, antri, n
495	anularius	noun	anularius, NULL, m
496	anulus	noun	anulus, anuli, m
497	anus	noun	anus, ani, m
498	anus	noun	anus, ani, m
499	anxietas	noun	anxietas, anxietatis, f
500	anxitudo	noun	anxitudo, NULL, f
501	apeliotes	noun	apeliotes, apeliotae, m
502	aper	noun	aper, apri, m
503	aperio	noun	aperio, NULL, n
504	apex	noun	apex, apicis, m
505	aphractus	noun	aphractus, NULL, f
506	apis	noun	apis, apin, f
507	apiscor	noun	apiscor, aptissimi, n
508	apium	noun	apium, api, n
509	aplustre	noun	aplustre, aplustris, n
510	apocleti	noun	apocleti, NULL, m
511	apodyterium	noun	apodyterium, apodyteri, n
512	Apollinaris	noun	Apollinaris, apollinaris, f
513	Apollo	noun	Apollo, apollinis, m
514	apologus	noun	apologus, apologi, m
515	apoproegmenon	noun	apoproegmenon, NULL, n
516	apotheca	noun	apotheca, apothecae, f
517	apparatus	noun	apparatus, apparatus, m
518	apparitio	noun	apparitio, NULL, f
519	apparitor	noun	apparitor, NULL, m
520	appellatio	noun	appellatio, appellationis, f
521	appellator	noun	appellator, NULL, m
522	appellito	noun	appellito, NULL, n
523	appello	noun	appello, NULL, n
524	appello	noun	appello, NULL, n
525	appendicula	noun	appendicula, NULL, f
526	appendix	noun	appendix, NULL, m
527	appendo	noun	appendo, NULL, n
528	appetentia	noun	appetentia, appetentiae, f
529	appetitio	noun	appetitio, NULL, f
530	appetitus	noun	appetitus, adpetitus, m
531	appeto	noun	appeto, NULL, n
532	Appius	noun	Appius, appi, m
533	applicatio	noun	applicatio, applicationis, f
534	applico	noun	applico, NULL, n
535	appono	noun	appono, adpositissimae, f
536	apporto	noun	apporto, NULL, n
537	apprehendo	noun	apprehendo, NULL, n
538	approbatio	noun	approbatio, approbationis, f
539	approbator	noun	approbator, NULL, m
540	approbo	noun	approbo, NULL, n
541	appropero	noun	appropero, NULL, n
542	appropinquatio	noun	appropinquatio, NULL, f
543	appropinquo	noun	appropinquo, NULL, n
544	appulsus	noun	appulsus, adpulsus, m
545	apricatio	noun	apricatio, NULL, f
546	Aprilis	noun	Aprilis, aprilis, m
547	apto	noun	apto, NULL, n
548	aqua	noun	aqua, aquae, f
549	aquarius	noun	aquarius, aquari, m
550	aquatio	noun	aquatio, aquationis, f
551	aquator	noun	aquator, NULL, m
552	aquila	noun	aquila, aquilae, f
553	aquilo	noun	aquilo, aquilonis, m
554	Aquinas	noun	Aquinas, NULL, m
555	aquor	noun	aquor, NULL, n
