language,source,lemma,atlas_id,url
grc,Atlas,ἕλιξις,357075,https://atlas.perseus.tufts.edu/lemma/357075/
grc,Atlas,ἐναλλάγδην,339939,https://atlas.perseus.tufts.edu/lemma/339939/
grc,Atlas,ἐνάλλαξις,380186,https://atlas.perseus.tufts.edu/lemma/380186/
grc,Atlas,ἐναλλοιόω,365598,https://atlas.perseus.tufts.edu/lemma/365598/
grc,Atlas,ἐνάμιλλος,344304,https://atlas.perseus.tufts.edu/lemma/344304/
grc,Atlas,ἐναν,362814,https://atlas.perseus.tufts.edu/lemma/362814/
grc,Atlas,ἐναν,372568,https://atlas.perseus.tufts.edu/lemma/372568/
grc,Atlas,ἐναντιος,418729,https://atlas.perseus.tufts.edu/lemma/418729/
grc,Atlas,ἐναντιόωσις,339344,https://atlas.perseus.tufts.edu/lemma/339344/
grc,Atlas,ἐναντιωτικός,410593,https://atlas.perseus.tufts.edu/lemma/410593/
grc,Atlas,ἐναπομάχομαι,360397,https://atlas.perseus.tufts.edu/lemma/360397/
grc,Atlas,ἐναυχέω,383212,https://atlas.perseus.tufts.edu/lemma/383212/
grc,Atlas,ἑνδεκάπηχυς,349156,https://atlas.perseus.tufts.edu/lemma/349156/
grc,Atlas,ἐνδέξιος,386247,https://atlas.perseus.tufts.edu/lemma/386247/
grc,Atlas,ἐνδίεμαι,341845,https://atlas.perseus.tufts.edu/lemma/341845/
grc,Atlas,ἐνδιπλόω,512093,https://atlas.perseus.tufts.edu/lemma/512093/
grc,Atlas,ἐνδόθι,339896,https://atlas.perseus.tufts.edu/lemma/339896/
grc,Atlas,ἐνενηκονταετής,347572,https://atlas.perseus.tufts.edu/lemma/347572/
grc,Atlas,ἐνἐνθησαυρίζω,348362,https://atlas.perseus.tufts.edu/lemma/348362/
grc,Atlas,ἐνερ,338690,https://atlas.perseus.tufts.edu/lemma/338690/
grc,Atlas,ἐνεργέω,401759,https://atlas.perseus.tufts.edu/lemma/401759/
grc,Atlas,ἐνεχυρασμός,343593,https://atlas.perseus.tufts.edu/lemma/343593/
grc,Atlas,ἐνηής,404055,https://atlas.perseus.tufts.edu/lemma/404055/
grc,Atlas,ἐνθαῦδα,339727,https://atlas.perseus.tufts.edu/lemma/339727/
grc,Atlas,ἔνθερμος,368806,https://atlas.perseus.tufts.edu/lemma/368806/
grc,Atlas,ἐνθεωρέω,433106,https://atlas.perseus.tufts.edu/lemma/433106/
grc,Atlas,ἐνθουσιαστικός,338781,https://atlas.perseus.tufts.edu/lemma/338781/
